№ пп;Субъект РФ;Муниципальное образование;Поселение;Населенный пункт;Уникальный идентификатор ФИАС;Кол-во СКД ед.
425;Амурская область;Серышевский Район;Аргинский сельсовет;Арга Станция;c30692db-2188-40df-b94f-14f48bc11370;1
426;Амурская область;Серышевский Район;Аргинский сельсовет;Введеновка Село;75bd691d-1240-485a-a469-d67a11fd2a9b;1
427;Амурская область;Серышевский Район;Аргинский сельсовет;Веселое Село;8b34efee-71ec-4d09-803b-715fa1addf91;1
428;Амурская область;Серышевский Район;Большесазанский сельсовет;Большая Сазанка Село;dec81215-547c-4e5a-bdb1-f22dc9bd1af9;1
429;Амурская область;Серышевский Район;Большесазанский сельсовет;Воронжа Село;f5ed692e-0e2b-4f23-bce4-a3fab309b3f5;1
430;Амурская область;Серышевский Район;Большесазанский сельсовет;Ключики Село;7d40b675-a739-4f73-9857-f80204b5e50e;1
431;Амурская область;Серышевский Район;Водораздельненский сельсовет;Водораздельное Село;dd4e0551-2197-4e98-b213-35dceab4be70;1
432;Амурская область;Серышевский Район;Водораздельненский сельсовет;Мелехино Село;c64ed4bb-18cd-4400-9638-34a8d25c28a6;1
433;Амурская область;Серышевский Район;Казанский сельсовет;Казанка Село;7d077f5b-576d-47bd-af5a-0dbdfa1fb1e6;1
434;Амурская область;Серышевский Район;Казанский сельсовет;Калиновка Село;60d202f5-f329-4141-bab0-f085f1cf6c84;1
435;Амурская область;Серышевский Район;Казанский сельсовет;Липовка Село;8619aa5c-8c59-45a7-8fdc-549eef40b522;1
436;Амурская область;Серышевский Район;Казанский сельсовет;Сретенка Село;dfc4580b-d9b1-4e2a-a627-1e8168466cd7;1
437;Амурская область;Серышевский Район;Лебяжьевский сельсовет;Белоусовка Село;ee63ae0a-4cf6-47a0-a141-2bf6a1eaf6bb;1
438;Амурская область;Серышевский Район;Лебяжьевский сельсовет;Лебяжье Село;16d52a06-06ea-4558-8e54-5a8a0df34d17;1
439;Амурская область;Серышевский Район;Лермонтовский сельсовет;Бирма Село;bcb8f48d-039b-4949-a1dc-0f7155342ede;1
440;Амурская область;Серышевский Район;Лермонтовский сельсовет;Ближний Сахалин Село;3faefc5f-435c-4b67-9a8e-5646e56d0710;1
441;Амурская область;Серышевский Район;Лермонтовский сельсовет;Лермонтово Село;ccccec8f-6d90-45ce-b18f-e9b09b7db017;1
442;Амурская область;Серышевский Район;Лермонтовский сельсовет;Павловка Село;8bb0c1c1-be55-4b80-84ad-72e1c8b04705;1
443;Амурская область;Серышевский Район;Лиманновский сельсовет;Лиманное Село;0d23a261-cc31-4962-8e12-d9372d08a640;1
444;Амурская область;Серышевский Район;Лиманновский сельсовет;Пушкино Село;14e90c50-bee3-4253-990d-ab075e6c8668;1
445;Амурская область;Серышевский Район;Новосергеевский сельсовет;Паруновка Село;c1ef9f59-ad2b-47f2-a892-6295030c389b;1
446;Амурская область;Серышевский Район;Новосергеевский сельсовет;Рождественка Село;971db088-63fe-410b-86de-2ba543242ade;1
447;Амурская область;Серышевский Район;Озерненский сельсовет;Белоногово Село;e6c441ec-4239-44ce-9a85-95c9653aef42;1
448;Амурская область;Серышевский Район;Озерненский сельсовет;Добрянка Село;b0263f15-015a-4554-95c2-b8f77293551d;1
449;Амурская область;Серышевский Район;Озерненский сельсовет;Озерное Село;3eae460a-82b2-44f9-ba12-838b63b5f3eb;1
450;Амурская область;Серышевский Район;Полянский сельсовет;Поляна Село;e492489f-55a6-4001-a086-b0055eed9970;1
451;Амурская область;Серышевский Район;Полянский сельсовет;Ударное Село;41fb85f8-e140-44ab-9796-62c2cede437e;1
452;Амурская область;Серышевский Район;Сосновский сельсовет;Автономовка Село;889f6b9f-827e-46fc-86a9-ad7473fad2f9;1
453;Амурская область;Серышевский Район;Сосновский сельсовет;Верхне-Боровая Село;47a05f25-8a93-437b-a813-6f4dbef0d709;1
454;Амурская область;Серышевский Район;Сосновский сельсовет;Державинка Село;eafb8144-66b8-405f-9d08-aa8336d6015f;1
455;Амурская область;Серышевский Район;Сосновский сельсовет;Сосновка Село;27f2745f-a24e-45ef-a22b-813be9fd6255;1
456;Амурская область;Серышевский Район;Томский сельсовет;Белогорка Село;c3cbd4c3-3c94-44de-b527-86e6f4051d31;1
457;Амурская область;Серышевский Район;Томский сельсовет;Бочкаревка Село;1cf0c716-4ed4-4446-a31f-e5b87ac0eb28;1
458;Амурская область;Серышевский Район;Томский сельсовет;Красная Поляна Село;917fdfd2-ced7-45d4-9640-465a7a1a2d2b;1
459;Амурская область;Серышевский Район;Томский сельсовет;Тавричанка Село;2c36abdf-9776-4016-a021-de281e6e6b2d;1
460;Амурская область;Серышевский Район;Томский сельсовет;Томское Село;e2e612b3-f9cc-43b9-982d-9b36680ef11e;1
461;Амурская область;Серышевский Район;Томский сельсовет;Украина Железнодорожная станция;c1daa2c0-1259-4897-a31a-2bdc0c9bef36;1
462;Амурская область;Серышевский Район;Томский сельсовет;Хитровка Село;99bdd690-2e9c-4577-84da-b7a7c7b7a56e;1
463;Амурская область;Серышевский Район;Украинский сельсовет;Новоохочье Село;8f6338ad-6c46-4e1d-95cb-b5f31c4916eb;1
464;Амурская область;Серышевский Район;Фроловский сельсовет;Борисполь Село;78832f5e-9d4f-4d83-9e34-913056dc9c47;1
465;Амурская область;Серышевский Район;Фроловский сельсовет;Фроловка Село;4f648156-4773-42ca-9353-7b2fc36a273f;1
466;Амурская область;Серышевский Район;Широкологский сельсовет;Воскресеновка Село;b9e8d83e-6010-46c9-975d-66b67ac777af;1
467;Амурская область;Серышевский Район;Широкологский сельсовет;Соколовка Село;e0de6fe1-67c4-4513-894c-dacc0d5a1a6c;1
468;Амурская область;Серышевский Район;Широкологский сельсовет;Широкий Лог Село;bc413d3a-ec2e-4e0f-946a-32bb4edf9f19;1
469;Амурская область;Сковородинский Район;Албазинский сельсовет;Албазино Село;2de0a338-aaac-44ae-a33c-868f356d59bc;1
470;Амурская область;Сковородинский Район;город Сковородино;Сковородино Город;260c545f-883c-440a-852c-c39a65fe4104;1
471;Амурская область;Сковородинский Район;город Сковородино;Сковородино Город;ad37b2ff-64d0-475d-b780-077f2b890a87;1
472;Амурская область;Сковородинский Район;Джалиндинский сельсовет;Джалинда Село;4abe7749-12d9-4eb5-b3ce-52144d1002bd;1
473;Амурская область;Сковородинский Район;Неверский сельсовет;Невер Село;5ca66965-5514-4a14-9a25-a2cbbaed2462;1
474;Амурская область;Сковородинский Район;рабочий поселок (поселок городского типа) Ерофей Павлович;Ерофей Павлович Поселок городского типа;2ec4ce03-90d0-4f9c-85cd-ebace46e3a45;1
475;Амурская область;Сковородинский Район;рабочий поселок (поселок городского типа) Ерофей Павлович;Игнашино Село;8b601152-0803-402e-ac47-6ac6f865cfe2;1
476;Амурская область;Сковородинский Район;рабочий поселок (поселок городского типа) Уруша;Уруша Поселок городского типа;e53f12b1-5c26-422b-92d4-41caa3977f4b;1
477;Амурская область;Сковородинский Район;Солнечный сельсовет;Бам Железнодорожная станция;9b6d0926-0101-43b2-9711-fd651e052465;1
478;Амурская область;Сковородинский Район;Талданский сельсовет;Талдан Село;f2e4769e-55e2-4d1c-aba5-d6898ce65eab;1
479;Амурская область;Сковородинский Район;Тахтамыгдинский сельсовет;Тахтамыгда Село;ad93e195-86ff-401c-8770-82d19d9636ba;1
480;Амурская область;Тамбовский Район;;Привольное Село;62852113-f874-4d9c-b2b9-aa0047324897;1
481;Амурская область;Тамбовский Район;;Придорожное Село;ca03082f-58c2-496a-a26d-f910928b2ed9;1
482;Амурская область;Тамбовский Район;Жариковский сельсовет;Жариково Село;1f5feb17-726e-4c39-8e64-cdc931c9d8b0;1
483;Амурская область;Тамбовский Район;Жариковский сельсовет;Свободка Село;6cadaa17-1560-45b4-a775-fd27b0843db5;1
484;Амурская область;Тамбовский Район;Козьмодемьяновский;Козьмодемьяновка Село;d8a39f24-3960-4369-8d20-3005c1f7cc8c;1
485;Амурская область;Тамбовский Район;Козьмодемьяновский;Липовка Село;2e5f7b75-24c3-45f7-a992-902e19d0b454;1
486;Амурская область;Тамбовский Район;Козьмодемьяновский;Чуевка Село;5a2f693f-70d0-434e-9c46-64a9f72fe7cc;1
487;Амурская область;Тамбовский Район;Красненский сельсовет;Корфово Село;8d8309e4-255e-4d79-894a-9c854b2379a8;1
488;Амурская область;Тамбовский Район;Красненский сельсовет;Красное Село;eb56ce1d-bcd2-49d5-9c86-2939a12be48d;1
489;Амурская область;Тамбовский Район;Куропатинский сельсовет;Духовское Село;a1077604-a63c-4c0d-a75f-3bde378bfdc0;1
490;Амурская область;Тамбовский Район;Куропатинский сельсовет;Куропатино Село;02b3f086-3c14-4089-aa3a-93a4946bf54a;1
491;Амурская область;Тамбовский Район;Лазаревский сельсовет;Лазаревка Село;8a36e430-80f8-458d-bc14-6a4782556270;1
492;Амурская область;Тамбовский Район;Лермонтовский сельсовет;Лермонтовка Село;a8f31fdf-8f2d-4010-b2bf-bfeac0be1636;1
493;Амурская область;Тамбовский Район;Муравьевский сельсовет;Муравьевка Село;31668967-c434-4f1b-8c22-504ace4d2c50;1
494;Амурская область;Тамбовский Район;Муравьевский сельсовет;Резуновка Село;04192470-e7d6-474c-8ab9-2eee4eece16c;1
495;Амурская область;Тамбовский Район;Николаевский сельсовет;Николаевка Село;9af37d71-5536-44c1-a901-17fcc696c0a9;1
496;Амурская область;Тамбовский Район;Новоалександровский сельсовет;Лиманное Село;661ea511-2112-417f-8f76-2b62ca42ebed;1
497;Амурская область;Тамбовский Район;Новоалександровский сельсовет;Новоалександровка Село;f3b6980a-33fa-42d8-a0c3-bee260d928da;1
498;Амурская область;Тамбовский Район;Раздольненский сельсовет;Гильчин Село;eff6edfd-37a6-432d-a85d-36e00cc069be;1
499;Амурская область;Тамбовский Район;Раздольненский сельсовет;Раздольное Село;22d91858-4983-4773-852b-119fafff717e;1
500;Амурская область;Тамбовский Район;Раздольненский сельсовет;Рощино Село;8353a36b-67df-4cb4-be7d-6c367dbda8f7;1
501;Амурская область;Тамбовский Район;Садовский сельсовет;Лозовое Село;a9f9dc03-ecf2-4889-9921-6edaed1a522e;1
502;Амурская область;Тамбовский Район;Садовский сельсовет;Орлецкое Село;3ccf1f85-20fa-4f27-b216-262bd7754a09;1
503;Амурская область;Тамбовский Район;Садовский сельсовет;Садовое Село;de365f19-98bf-4801-83c2-1695b5b35df1;1
504;Амурская область;Тамбовский Район;Тамбовский сельсовет;Косицино Село;586fabd8-3bed-41da-9064-edff4fe65c00;1
505;Амурская область;Тамбовский Район;Тамбовский сельсовет;Тамбовка Село;6befa42b-0a08-4b18-9058-dc47f261e421;1
506;Амурская область;Тамбовский Район;Толстовский сельсовет;Толстовка Село;cdbc9af5-9413-4a5d-b923-61945b6201df;1
507;Амурская область;Тында Город;город Тында;город Тында;007e010f-e110-4a55-90a7-c4acac623c9b;2
508;Амурская область;Тындинский Район;Восточный сельсовет;Восточный Поселок;7d1520c7-386a-494a-a9c6-958ec383d51e;1
509;Амурская область;Тындинский Район;Соловьевский сельсовет;Янкан Село;2ad7da86-b492-4323-8cb1-1ce4d513e9e2;1
510;Амурская область;Тындинский Район;Урканский сельсовет;Бугорки Село;b56b384c-52db-4a8b-a421-4760b2dd96db;1
511;Амурская область;Тындинский Район;Урканский сельсовет;Уркан Село;34f9d29e-0b36-445d-b54f-4b476e3404df;1
512;Амурская область;Тындинский Район;Усть-Нюкжинский сельсовет;Усть-Нюкжа Село;cf91b332-c7d0-4b2e-b775-e83c9982d21f;1
513;Амурская область;Углегорск Поселок;ЗАТО поселок Углегорск;ЗАТО поселок Углегорск;f9ce3255-3f79-4457-919c-d180fa813b6a;1
514;Амурская область;Шимановск Город;город Шимановск;город Шимановск;809f0591-bb18-40a2-9fac-7d3d0a22c0bf;1
515;Амурская область;Шимановский Район;;Актай Село;0e37e6f0-c7ae-4825-ae3b-bc87ce1f228e;1
516;Амурская область;Шимановский Район;;Базисное Село;17924379-f6f4-4c8d-8a41-0385e948a51b;1
517;Амурская область;Шимановский Район;;Джатва Станция;ae73fea8-40e8-407c-ba67-07506d116f9b;1
518;Амурская область;Шимановский Район;;Раздольное Село;06122e34-c7f4-4007-b2e3-028dc78c97e2;1
519;Амурская область;Шимановский Район;;Свободный Труд Село;3dea6b52-5e33-4d45-a5b3-d6fc3b2313d0;1
520;Амурская область;Шимановский Район;Береинский сельсовет;Берея Станция;1cfb0339-02d7-4169-b3ea-f03b86c4cfa0;1
521;Амурская область;Шимановский Район;Малиновский сельсовет;Малиновка Село;eed58b0d-25d8-43b2-9838-957833b8cf38;1
522;Амурская область;Шимановский Район;Мухинский сельсовет;Ключевое Село;a28aa8c9-e116-4a76-9188-5547088e67d4;1
523;Амурская область;Шимановский Район;Мухинский сельсовет;Мухино Село;3ff52b00-76dc-4b8a-8b58-73dca2b138a3;1
524;Амурская область;Шимановский Район;Мухинский сельсовет;Переселенческий Станция;ea486546-d865-4009-a934-3a97d1cd4349;1
525;Амурская область;Шимановский Район;Нововоскресеновский сельсовет;Аносово Село;31f8c926-efa5-4afd-a521-95dc7d0cb7cd;1
526;Амурская область;Шимановский Район;Нововоскресеновский сельсовет;Нововоскресеновка Село;5e682697-1c85-4fdf-a0c3-375a32a5e17c;1
527;Амурская область;Шимановский Район;Новогеоргиевский сельсовет;Новогеоргиевка Село;65f18061-383f-41e7-a682-47d968142a4e;1
528;Амурская область;Шимановский Район;Петрушинский сельсовет;Петруши Село;61be796d-589c-4978-978a-b819cf608eba;1
529;Амурская область;Шимановский Район;Петрушинский сельсовет;Петруши Станция;a26a2c43-1990-4bc5-83fb-12d4b64348db;1
530;Амурская область;Шимановский Район;Петрушинский сельсовет;Случайное Село;35aff414-85f7-452a-af3f-19927bab1910;1
531;Амурская область;Шимановский Район;Саскалинский сельсовет;Саскаль Село;639cc462-eeda-41cb-827e-9aea3ea7a842;1
532;Амурская область;Шимановский Район;Селетканский сельсовет;Светильное Село;40a083b1-0c9b-469b-a430-e7624f5e50bf;1
533;Амурская область;Шимановский Район;Селетканский сельсовет;Селеткан Село;90f61757-e789-4213-9cb3-e529cc3be877;1
534;Амурская область;Шимановский Район;Симоновский сельсовет;Симоново Село;8b4eb712-5a16-4fb3-b566-6673dcfbd094;1
535;Амурская область;Шимановский Район;Ураловский сельсовет;Кухтерин Луг Село;71c56357-f056-4d16-85c1-12aae98d1302;1
536;Амурская область;Шимановский Район;Ураловский сельсовет;Ураловка Село;4dbcc1ed-aa57-4c20-b1ef-8da0a5762f96;1
537;Амурская область;Шимановский Район;Ушаковский сельсовет;Ушаково Село;03cfc3da-4bbf-484c-9f25-db5d71bf0907;1
538;Амурская область;Шимановский Район;Чагоянский сельсовет;Чагоян Село;aacb8f84-29f1-4075-9485-913d2cf188aa;1
539;Амурская область;;;п.Джелтулак;;1
